"articles"
3250
6610
10500
14200
16400
17000
17500
20200
22700
29100
35100
41700
53300
65600
86000
89100
96000
118000
132000
117000
141000
104000
71200
49000
54500
56700
72100
71300
77100
111000
99900
130000
183000
195000
228000
